province,number,area,num_per_area,province_en,region
山西省,271,15.63,17.338451695457454,Shanxi,North China
河南省,188,16.7,11.257485029940119,Henan,South Central
河北省,165,18.77,8.790623335109219,Hebei,North China
陕西省,138,20.56,6.712062256809339,Shaanxi,Northwest
四川省,134,48.14,2.7835479850436227,Sichuan,Southwest
浙江省,130,10.2,12.745098039215687,Zhejiang,East China
江苏省,118,10.26,11.500974658869396,Jiangsu,East China
北京市,99,1.68,58.92857142857143,Beijing,North China
山东省,96,15.38,6.24187256176853,Shandong,East China
湖北省,91,18.59,4.895104895104895,Hubei,South Central
福建省,85,12.13,7.007419620774938,Fujian,East China
内蒙古自治区,78,118.3,0.6593406593406593,Inner Mongolia,North China
云南省,75,38.33,1.9566918862509783,Yunan,Yunan
甘肃省,71,45.44,1.5625,Gansu,Northwest
广东省,66,18.0,3.6666666666666665,Guangdong,South Central
新疆维吾尔自治区,58,166.0,0.3493975903614458,Xinjiang,Northwest
湖南省,58,21.18,2.7384324834749765,Hunan,South Central
安徽省,56,13.97,4.008589835361489,Anhui,East China
辽宁省,53,14.59,3.6326250856751203,Liaoning,Northeast
江西省,51,16.7,3.0538922155688626,Jiangxi,East China
广西壮族自治区,42,23.6,1.7796610169491525,Guangxi,South Central
贵州省,39,17.6,2.215909090909091,Guizhou,Southwest
西藏自治区,37,122.8,0.30130293159609123,Tibet,Southwest
吉林省,33,18.74,1.7609391675560302,Jilin,Northeast
黑龙江省,28,45.48,0.6156552330694811,Heilongjiang,Northeast
上海市,19,0.63,30.158730158730158,Shanghai,East China
青海省,18,72.23,0.2492039318842586,Qinghai,Northwest
宁夏回族自治区,16,6.64,2.409638554216868,Ningxia,Northwest
海南省,14,3.4,4.11764705882353,Hainan,South Central
重庆市,13,8.23,1.5795868772782502,Chongqing,Southwest
天津市,13,1.13,11.504424778761065,Tianjin,North China
